2080,Yes,Yes,Autodesk NLM (FLEXlm),Official 
2082,Yes,,cPanel default[150],Unofficial 
2083,Yes,Yes,Secure RADIUS Service (radsec),Official 
,Yes,,cPanel default SSL[150],Unofficial 
2086,Yes,Yes,GNUnet,Official 
,Yes,,WebHost Manager default[150],Unofficial 
2087,Yes,,WebHost Manager default SSL[150],Unofficial 
2095,Yes,,cPanel default web mail[150],Official 
2096,Yes,,cPanel default SSL web mail[150],Unofficial 
2100,Yes,,Warzone 2100 multiplayer[citation needed],Unofficial 
2101,Yes,,Networked Transport of RTCM via Internet Protocol (NTRIP)[citation needed],Unofficial 
2102,Yes,Yes,Zephyr Notification Service server,Official 
2103,Yes,Yes,Zephyr Notification Service serv-hm connection,Official 
2104,Yes,Yes,Zephyr Notification Service hostmanager,Official 
2123,Yes,Yes,GTP control messages (GTP-C),Official 
2142,Yes,Yes,TDMoIP (TDM over IP),Official 
2152,Yes,Yes,GTP user data messages (GTP-U),Official 
2159,Yes,Yes,GDB remote debug port,Official 
2181,Yes,Yes,EForward-document transport system,Official 
,Yes,,Apache ZooKeeper default client port[citation needed],Unofficial 
